title,page,parent
10.18574_nyu_9781479833641.003.0001,1,
10.18574_nyu_9781479833641.003.0002,7,
10.18574_nyu_9781479833641.003.0003,9,
10.18574_nyu_9781479833641.003.0004,17,
10.18574_nyu_9781479833641.003.0005,31,
10.18574_nyu_9781479833641.003.0006,80,
10.18574_nyu_9781479833641.003.0007,126,
10.18574_nyu_9781479833641.003.0008,135,
10.18574_nyu_9781479833641.003.0009,150,
10.18574_nyu_9781479833641.003.0010,169,
10.18574_nyu_9781479833641.003.0011,187,
10.18574_nyu_9781479833641.003.0012,199,
10.18574_nyu_9781479833641.003.0013,203,
10.18574_nyu_9781479833641.003.0014,217,
10.18574_nyu_9781479833641.003.0015,235,
10.18574_nyu_9781479833641.003.0016,245,
